_uid_,commune,taux_artif_pct,population,variation_pop,m2_par_habitant,menages_par_ha
171,Saint-Martin-lès-Seyne,0.02,10,-3,-190.33,87.57
172,Entrevennes,0.02,170,7,652.86,50.33
173,Brunet,0.02,287,32,86.13,94.34
174,Sourribes,0.02,179,-1,-1218,49.26
175,Beynes,0.02,121,-5,-1275.6,2.37
176,Thorame-Basse,0.02,216,-5,-535.4,-18.68
177,Thorame-Haute,0.02,246,13,411.15,7.48
178,Allons,0.02,123,-31,-16.61,
179,Authon,0.02,61,8,461.88,5.41
180,Méolans-Revel,0.02,323,-14,-1039.71,15.51
181,Le Castellard-Mélan,0.01,61,-4,-653.5,-11.48
182,La Rochette,0.01,72,6,0,0
183,Valavoire,0.01,38,-5,-60.2,-199.34
184,Demandolx,0.01,119,-11,-60,187.21
185,Entrages,0.01,100,-8,-198.25,-12.61
186,Auzet,0.01,102,4,153.75,
187,Blieux,0.01,54,-6,-13.33,375
188,Val d'Oronaye,0.01,108,-7,-161.86,129.2
189,Beaujeu,0.01,124,-13,-255.08,-45.24
190,Bayons,0.01,197,14,285.71,26.67
191,Prads-Haute-Bléone,0,175,-11,-149.82,-47.17
192,Saint-Geniez,0,107,12,0,0
193,Saint-Paul-sur-Ubaye,0,176,-24,-84.33,-14.82
194,Saint-Jeannet,0,47,-16,-69.75,-344.83
195,Majastres,0,5,2,0,0
196,Barles,0,131,-7,-224.29,-13.61
197,La Rochegiron,0,107,14,0,0
198,Le Caire,0,74,10,0,0
